com.victronenergy.switch.HQ2502N6WNN
106	/SwitchableOutput/output_3/Status	INT32	9	On
106	/SwitchableOutput/output_3/State	INT32	1	1
106	/SwitchableOutput/output_3/Status	INT32	0	Off
106	/SwitchableOutput/output_3/State	INT32	0	0
106	/SwitchableOutput/pwm_3/Status	INT32	9	On
106	/SwitchableOutput/pwm_3/State	INT32	1	1
107	/SwitchableOutput/pwm_3/Dimming	INT32	30	30%
107	/SwitchableOutput/pwm_3/Dimming	INT32	32	32%
107	/SwitchableOutput/pwm_3/Dimming	INT32	36	36%
107	/SwitchableOutput/pwm_3/Dimming	INT32	42	42%
107	/SwitchableOutput/pwm_3/Dimming	INT32	49	49%
107	/SwitchableOutput/pwm_3/Dimming	INT32	56	56%
107	/SwitchableOutput/pwm_3/Dimming	INT32	62	62%
107	/SwitchableOutput/pwm_3/Dimming	INT32	67	67%
107	/SwitchableOutput/pwm_3/Dimming	INT32	70	70%
107	/SwitchableOutput/pwm_3/Dimming	INT32	71	71%
108	/SwitchableOutput/output_1/Status	INT32	9	On
108	/SwitchableOutput/output_1/State	INT32	1	1
